alert_id,alert_timestamp,case_id,alert_type,person_id,related_person_id,severity,explanation,supporting_sources,confidence_score,analyst_status,synthetic_data
SYN-ALT-0101,2026-01-27T17:31:14,CASE-010,HIGH_COMMUNICATION_CENTRALITY,P006,P003,LOW,"Analytical pattern indicator (high communication centrality) detected involving P006 and P003; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT|LOCATION_RECORDS,0.42,CONFIRMED_PATTERN,True
SYN-ALT-0102,2026-05-15T11:19:45,CASE-002,UNUSUAL_TRANSACTION,P015,P013,LOW,"Analytical pattern indicator (unusual transaction) detected involving P015 and P013; flagged as an investigative lead, not a conclusion.",INTEL_REPORT,0.42,DISMISSED,True
SYN-ALT-0103,2026-06-11T17:15:47,CASE-005,FREQUENT_CO_LOCATION,P015,P004,MEDIUM,"Analytical pattern indicator (frequent co location) detected involving P015 and P004; flagged as an investigative lead, not a conclusion.",FIR|CDR,0.46,DISMISSED,True
SYN-ALT-0104,2026-02-22T19:38:55,CASE-009,UNUSUAL_TRANSACTION,P007,P014,HIGH,"Analytical pattern indicator (unusual transaction) detected involving P007 and P014; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.39,UNDER_REVIEW,True
SYN-ALT-0105,2026-03-22T07:39:50,CASE-004,MULTI_SOURCE_MATCH,P013,P015,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P013 and P015; flagged as an investigative lead, not a conclusion.",FIR|TRANSACTIONS,0.41,DISMISSED,True
SYN-ALT-0106,2026-08-18T17:51:51,CASE-006,UNUSUAL_TRANSACTION,P008,P006,LOW,"Analytical pattern indicator (unusual transaction) detected involving P008 and P006; flagged as an investigative lead, not a conclusion.",CDR|TRANSACTIONS|FIR,0.32,NEW,True
SYN-ALT-0107,2026-04-04T08:14:26,CASE-002,CROSS_CASE_CONNECTION,P010,P011,CRITICAL,"Analytical pattern indicator (cross case connection) detected involving P010 and P011; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.63,CONFIRMED_PATTERN,True
SYN-ALT-0108,2026-07-29T04:42:52,CASE-010,VEHICLE_PERSON_LINK,P012,P007,LOW,"Analytical pattern indicator (vehicle person link) detected involving P012 and P007; flagged as an investigative lead, not a conclusion.",FIR|TRANSACTIONS,0.9,UNDER_REVIEW,True
SYN-ALT-0109,2026-07-02T06:47:27,CASE-007,CIRCULAR_TRANSACTION,P003,P011,MEDIUM,"Analytical pattern indicator (circular transaction) detected involving P003 and P011; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT,0.76,NEW,True
SYN-ALT-0110,2026-04-13T11:31:25,CASE-007,RAPID_CONTACT_SPIKE,P013,P007,CRITICAL,"Analytical pattern indicator (rapid contact spike) detected involving P013 and P007; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR|TRANSACTIONS,0.73,NEW,True
SYN-ALT-0111,2026-03-05T14:44:12,CASE-009,RAPID_CONTACT_SPIKE,P008,P006,HIGH,"Analytical pattern indicator (rapid contact spike) detected involving P008 and P006; flagged as an investigative lead, not a conclusion.",INTEL_REPORT,0.49,DISMISSED,True
SYN-ALT-0112,2026-07-05T15:40:20,CASE-003,RAPID_CONTACT_SPIKE,P002,P003,HIGH,"Analytical pattern indicator (rapid contact spike) detected involving P002 and P003; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|LOCATION_RECORDS,0.63,DISMISSED,True
SYN-ALT-0113,2026-04-20T05:50:28,CASE-001,CROSS_CASE_CONNECTION,P003,P009,MEDIUM,"Analytical pattern indicator (cross case connection) detected involving P003 and P009; flagged as an investigative lead, not a conclusion.",FIR|CDR|TRANSACTIONS,0.52,CONFIRMED_PATTERN,True
SYN-ALT-0114,2026-03-22T01:28:12,CASE-008,VEHICLE_PERSON_LINK,P012,P007,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P012 and P007; flagged as an investigative lead, not a conclusion.",CDR|TRANSACTIONS|FIR,0.44,CONFIRMED_PATTERN,True
SYN-ALT-0115,2026-08-19T04:40:21,CASE-008,NEW_NETWORK_CONNECTION,P003,P011,MEDIUM,"Analytical pattern indicator (new network connection) detected involving P003 and P011; flagged as an investigative lead, not a conclusion.",FIR|CDR|LOCATION_RECORDS,0.51,NEW,True
SYN-ALT-0116,2026-05-26T03:39:12,CASE-010,TRANSACTION_CHAIN,P009,P011,CRITICAL,"Analytical pattern indicator (transaction chain) detected involving P009 and P011; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.7,CONFIRMED_PATTERN,True
SYN-ALT-0117,2026-07-20T14:03:19,CASE-006,NEW_NETWORK_CONNECTION,P015,P009,MEDIUM,"Analytical pattern indicator (new network connection) detected involving P015 and P009; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.44,CONFIRMED_PATTERN,True
SYN-ALT-0118,2026-07-02T04:37:02,CASE-009,TRANSACTION_CHAIN,P008,P013,LOW,"Analytical pattern indicator (transaction chain) detected involving P008 and P013; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.91,CONFIRMED_PATTERN,True
SYN-ALT-0119,2026-07-03T04:19:15,CASE-002,UNUSUAL_TRANSACTION,P002,P014,LOW,"Analytical pattern indicator (unusual transaction) detected involving P002 and P014; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.85,DISMISSED,True
SYN-ALT-0120,2026-03-05T16:49:12,CASE-003,VEHICLE_PERSON_LINK,P005,P015,MEDIUM,"Analytical pattern indicator (vehicle person link) detected involving P005 and P015; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|CDR,0.66,UNDER_REVIEW,True
